,20200618,20200619,20200622,20200623,20200624,20200629,20200630,20200701,20200702
002475.SZ,45.65,45.6,47.33,49.05,49.04,48.03,51.35,51.7,51.29
002241.SZ,26.1,26.6,26.93,27.43,27.16,26.7,29.36,29,28.64
300433.SZ,24.15,24.35,24.74,24.46,25.51,25.88,28.04,29.25,29.26
002859.SZ,27.91,27.82,28.13,28.8,28.85,29.89,29.98,30.79,30.25
002405.SZ,15.9,15.9,16.09,16.08,15.76,16.44,16.49,16.9,17.09
300308.SZ,63.53,62.82,62.8,61.8,62.1,61.85,63,61.86,61.79
002912.SZ,147.58,149.01,151.3,154.35,159.29,159.11,163.59,158.42,155.81
600588.SH,39.32,39.23,40.02,42.56,43.7,42.78,44.1,47.2,46
002410.SZ,64.7,64.59,64.97,70,69.95,68.7,69.7,72.7,67.1
